sourcePath,sourceLine,sourceClass,sourceClassFull,sourceMethod,sourceMethodFull,sourceStructure,targetPath,targetLine,targetClass,targetClassFull,targetMethod,targetMethodFull,targetStructure
mro/basic/main.py,5,B,mro.basic.main.B,,,,mro/basic/main.py,1,A,mro.basic.main.A,,,
mro/basic/main.py,5,B,mro.basic.main.B,,,,mro/basic/main.py,1,A,mro.basic.main.A,,,
mro/basic/main.py,5,B,mro.basic.main.B,,,,mro/basic/main.py,1,A,mro.basic.main.A,,,
mro/basic/main.py,8,,,,,,mro/basic/main.py,8,,,,,
mro/basic/main.py,8,,,,,,mro/basic/main.py,5,B,mro.basic.main.B,,,
mro/basic/main.py,8,,,,,,mro/basic/main.py,5,B,mro.basic.main.B,,,
mro/basic/main.py,8,,,,,,mro/basic/main.py,5,B,mro.basic.main.B,,,
mro/basic/main.py,9,,,,,,mro/basic/main.py,2,A,mro.basic.main.A,func,mro.basic.main.A.func,A.func
mro/basic/main.py,9,,,,,,mro/basic/main.py,2,A,mro.basic.main.A,func,mro.basic.main.A.func,A.func
mro/basic/main.py,9,,,,,,mro/basic/main.py,8,,,,,
mro/basic/main.py,9,,,,,,mro/basic/main.py,8,,,,,
mro/basic/main.py,9,,,,,,mro/basic/main.py,8,,,,,
mro/basic/main.py,9,,,,,,mro/basic/main.py,2,A,mro.basic.main.A,func,mro.basic.main.A.func,A.func
mro/basic/main.py,9,,,,,,mro/basic/main.py,2,A,mro.basic.main.A,func,mro.basic.main.A.func,A.func
mro/basic/callgraph.json,2,,,,,,mro/basic/callgraph.json,2,,,,,
mro/basic/callgraph.json,2,,,,,,mro/basic/callgraph.json,2,,,,,
mro/basic/callgraph.json,5,,,,,,mro/basic/callgraph.json,5,,,,,
mro/basic/callgraph.json,5,,,,,,mro/basic/callgraph.json,5,,,,,
mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,,mro/basic_init/main.py,1,A,mro.basic_init.main.A,,,
mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,,mro/basic_init/main.py,1,A,mro.basic_init.main.A,,,
mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,,mro/basic_init/main.py,1,A,mro.basic_init.main.A,,,
mro/basic_init/main.py,9,,,,,,mro/basic_init/main.py,9,,,,,
mro/basic_init/main.py,9,,,,,,mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,
mro/basic_init/main.py,9,,,,,,mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,
mro/basic_init/main.py,9,,,,,,mro/basic_init/main.py,5,B,mro.basic_init.main.B,,,
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,6,B,mro.basic_init.main.B,func,"mro.basic_init.main.B.func",B.func
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,6,B,mro.basic_init.main.B,func,"mro.basic_init.main.B.func",B.func
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,9,,,,,
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,9,,,,,
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,9,,,,,
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,6,B,mro.basic_init.main.B,func,"mro.basic_init.main.B.func",B.func
mro/basic_init/main.py,10,,,,,,mro/basic_init/main.py,6,B,mro.basic_init.main.B,func,"mro.basic_init.main.B.func",B.func
"mro/basic_init/callgraph.json",2,,,,,,"mro/basic_init/callgraph.json",2,,,,,
"mro/basic_init/callgraph.json",2,,,,,,"mro/basic_init/callgraph.json",2,,,,,
"mro/basic_init/callgraph.json",6,,,,,,"mro/basic_init/callgraph.json",6,,,,,
"mro/basic_init/callgraph.json",6,,,,,,"mro/basic_init/callgraph.json",6,,,,,
"mro/basic_init/callgraph.json",7,,,,,,"mro/basic_init/callgraph.json",7,,,,,
"mro/basic_init/callgraph.json",7,,,,,,"mro/basic_init/callgraph.json",7,,,,,
mro/super_call/main.py,5,B,mro.super_call.main.B,,,,mro/super_call/main.py,1,A,mro.super_call.main.A,,,
mro/super_call/main.py,5,B,mro.super_call.main.B,,,,mro/super_call/main.py,1,A,mro.super_call.main.A,,,
mro/super_call/main.py,5,B,mro.super_call.main.B,,,,mro/super_call/main.py,1,A,mro.super_call.main.A,,,
mro/super_call/main.py,7,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__,mro/super_call/main.py,2,A,mro.super_call.main.A,__init__,"mro.super_call.main.A.__init__",A.__init__
mro/super_call/main.py,7,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__,mro/super_call/main.py,2,A,mro.super_call.main.A,__init__,"mro.super_call.main.A.__init__",A.__init__
mro/super_call/main.py,7,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__,mro/super_call/main.py,2,A,mro.super_call.main.A,__init__,"mro.super_call.main.A.__init__",A.__init__
mro/super_call/main.py,7,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__,mro/super_call/main.py,2,A,mro.super_call.main.A,__init__,"mro.super_call.main.A.__init__",A.__init__
mro/super_call/main.py,7,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__,mro/super_call/main.py,2,A,mro.super_call.main.A,__init__,"mro.super_call.main.A.__init__",A.__init__
mro/super_call/main.py,9,C,mro.super_call.main.C,,,,mro/super_call/main.py,5,B,mro.super_call.main.B,,,
mro/super_call/main.py,9,C,mro.super_call.main.C,,,,mro/super_call/main.py,5,B,mro.super_call.main.B,,,
mro/super_call/main.py,9,C,mro.super_call.main.C,,,,mro/super_call/main.py,5,B,mro.super_call.main.B,,,
mro/super_call/main.py,11,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__,mro/super_call/main.py,6,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__
mro/super_call/main.py,11,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__,mro/super_call/main.py,6,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__
mro/super_call/main.py,11,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__,mro/super_call/main.py,6,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__
mro/super_call/main.py,11,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__,mro/super_call/main.py,6,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__
mro/super_call/main.py,11,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__,mro/super_call/main.py,6,B,mro.super_call.main.B,__init__,"mro.super_call.main.B.__init__",B.__init__
mro/super_call/main.py,13,,,,,,mro/super_call/main.py,13,,,,,
mro/super_call/main.py,13,,,,,,mro/super_call/main.py,9,C,mro.super_call.main.C,,,
mro/super_call/main.py,13,,,,,,mro/super_call/main.py,10,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__
mro/super_call/main.py,13,,,,,,mro/super_call/main.py,10,C,mro.super_call.main.C,__init__,"mro.super_call.main.C.__init__",C.__init__
